id,category,pegi,commentCount,commentScore,appSizeMB,downloads,ranking,FirstRGB,FirstHEX,FirstHSL,SecondRGB,SecondHEX,SecondHSL
22,Adventure,16,86268,4.6,7.0,5000000,14,"(83, 65, 44)",#53412c,"(32, 31%, 25%)","(216, 188, 75)",#d8bc4b,"(48, 64%, 56%)"
23,Adventure,12,1091818,4.3,45.0,10000000,15,"(51, 42, 43)",#332a2b,"(353, 10%, 18%)","(233, 216, 211)",#e9d8d3,"(13, 33%, 87%)"
24,Adventure,12,1091818,4.3,45.0,10000000,15,"(64, 64, 66)",#404042,"(240, 2%, 25%)","(227, 212, 207)",#e3d4cf,"(15, 26%, 85%)"
25,Adventure,12,241713,4.3,117.0,10000000,16,"(156, 92, 128)",#9c5c80,"(326, 26%, 49%)","(36, 23, 39)",#241727,"(288, 26%, 12%)"
26,Adventure,12,241713,4.3,117.0,10000000,16,"(164, 154, 154)",#a49a9a,"(0, 5%, 62%)","(34, 53, 75)",#22354b,"(212, 38%, 21%)"
27,Adventure,7,1052675,4.4,147.0,10000000,17,"(167, 146, 125)",#a7927d,"(29, 19%, 56%)","(40, 35, 35)",#282323,"(0, 7%, 15%)"
28,Adventure,7,1052675,4.4,147.0,10000000,17,"(74, 53, 50)",#4a3532,"(7, 19%, 24%)","(210, 171, 121)",#d2ab79,"(33, 50%, 65%)"
29,Adventure,3,443559,4.6,147.0,10000000,18,"(178, 150, 118)",#b29676,"(32, 28%, 57%)","(62, 51, 76)",#3e334c,"(266, 20%, 25%)"
30,Adventure,3,443559,4.6,147.0,10000000,18,"(70, 90, 105)",#465a69,"(205, 20%, 34%)","(200, 206, 201)",#c8cec9,"(129, 6%, 80%)"
31,Adventure,16,287814,4.4,87.0,10000000,20,"(103, 71, 58)",#67473a,"(17, 28%, 32%)","(208, 153, 122)",#d0997a,"(21, 48%, 65%)"
32,Adventure,16,287814,4.4,87.0,10000000,20,"(104, 71, 75)",#68474b,"(352, 19%, 34%)","(204, 156, 149)",#cc9c95,"(7, 35%, 69%)"
33,Adventure,7,51228,4.5,100.0,1000000,23,"(43, 41, 44)",#2b292c,"(280, 4%, 17%)","(200, 170, 154)",#c8aa9a,"(20, 28%, 69%)"
34,Adventure,7,51228,4.5,100.0,1000000,23,"(58, 44, 47)",#3a2c2f,"(347, 14%, 20%)","(213, 166, 150)",#d5a696,"(15, 43%, 71%)"
35,Adventure,3,6513,4.7,119.0,100000,24,"(189, 168, 131)",#bda883,"(38, 31%, 63%)","(56, 109, 107)",#386d6b,"(177, 32%, 32%)"
36,Adventure,3,6513,4.7,119.0,100000,24,"(170, 156, 129)",#aa9c81,"(39, 19%, 59%)","(49, 97, 100)",#316164,"(183, 34%, 28%)"
37,Adventure,12,2225,3.6,42.0,100000,25,"(66, 50, 37)",#423225,"(26, 28%, 20%)","(212, 191, 148)",#d4bf94,"(40, 43%, 71%)"
38,Adventure,12,2225,3.6,42.0,100000,25,"(59, 45, 34)",#3b2d22,"(26, 27%, 18%)","(213, 186, 135)",#d5ba87,"(39, 48%, 68%)"
39,Adventure,3,28475,4.6,151.0,500000,26,"(201, 172, 146)",#c9ac92,"(28, 34%, 68%)","(54, 64, 101)",#364065,"(227, 30%, 30%)"
40,Adventure,3,28475,4.6,151.0,500000,26,"(201, 213, 212)",#c9d5d4,"(175, 13%, 81%)","(55, 121, 198)",#3779c6,"(212, 56%, 50%)"
41,Adventure,3,183471,4.3,111.0,5000000,27,"(165, 156, 86)",#a59c56,"(53, 31%, 49%)","(28, 59, 34)",#1c3b22,"(131, 36%, 17%)"
42,Adventure,3,183471,4.3,111.0,5000000,27,"(93, 144, 164)",#5d90a4,"(196, 28%, 50%)","(223, 178, 109)",#dfb26d,"(36, 64%, 65%)"
43,Adventure,12,1236,3.8,37.0,10000,28,"(167, 159, 129)",#a79f81,"(47, 18%, 57%)","(43, 40, 32)",#2b2820,"(43, 15%, 15%)"
44,Adventure,12,1236,3.8,37.0,10000,28,"(36, 37, 41)",#242529,"(228, 6%, 15%)","(203, 208, 204)",#cbd0cc,"(132, 5%, 81%)"
45,Adventure,16,564891,4.1,71.0,10000000,29,"(181, 141, 85)",#b58d55,"(35, 39%, 52%)","(66, 67, 41)",#424329,"(62, 24%, 21%)"
46,Adventure,16,564891,4.1,71.0,10000000,29,"(60, 41, 35)",#3c2923,"(14, 26%, 19%)","(197, 106, 56)",#c56a38,"(21, 56%, 50%)"
47,Adventure,3,76286,4.2,30.0,10000000,30,"(45, 20, 89)",#2d1459,"(261, 63%, 21%)","(218, 145, 80)",#da9150,"(28, 65%, 57%)"
48,Adventure,3,76286,4.2,30.0,10000000,30,"(51, 35, 74)",#33234a,"(264, 36%, 21%)","(230, 130, 67)",#e68243,"(23, 77%, 57%)"
49,Adventure,7,767923,4.2,106.0,10000000,31,"(178, 152, 114)",#b29872,"(35, 28%, 56%)","(53, 52, 50)",#353432,"(39, 3%, 20%)"
50,Adventure,7,767923,4.2,106.0,10000000,31,"(80, 72, 56)",#504838,"(39, 18%, 27%)","(198, 180, 129)",#c6b481,"(44, 38%, 64%)"
51,Adventure,3,889249,4.4,104.0,5000000,32,"(167, 108, 75)",#a76c4b,"(21, 38%, 47%)","(49, 38, 35)",#312623,"(12, 17%, 16%)"
52,Adventure,3,889249,4.4,104.0,5000000,32,"(179, 144, 111)",#b3906f,"(29, 31%, 56%)","(55, 57, 42)",#37392a,"(68, 15%, 19%)"
53,Adventure,3,381486,4.2,-1.0,10000000,33,"(226, 202, 193)",#e2cac1,"(16, 36%, 82%)","(77, 193, 166)",#4dc1a6,"(166, 48%, 53%)"
54,Adventure,3,381486,4.2,-1.0,10000000,33,"(189, 186, 165)",#bdbaa5,"(52, 15%, 69%)","(174, 190, 58)",#aebe3a,"(67, 53%, 49%)"
55,Adventure,12,164439,4.5,142.0,1000000,34,"(62, 45, 38)",#3e2d26,"(17, 24%, 20%)","(218, 187, 105)",#dabb69,"(43, 60%, 63%)"
56,Adventure,12,164439,4.5,142.0,1000000,34,"(167, 159, 120)",#a79f78,"(49, 21%, 56%)","(26, 59, 57)",#1a3b39,"(176, 39%, 17%)"
57,Adventure,16,65079,3.9,18.0,1000000,35,"(11, 12, 20)",#0b0c14,"(233, 28%, 6%)","(185, 184, 190)",#b9b8be,"(249, 4%, 73%)"
58,Adventure,16,65079,3.9,18.0,1000000,35,"(12, 12, 16)",#0c0c10,"(240, 14%, 5%)","(189, 133, 146)",#bd8592,"(346, 30%, 63%)"
59,Adventure,16,1007227,3.9,-1.0,10000000,36,"(183, 157, 121)",#b79d79,"(34, 30%, 60%)","(49, 88, 53)",#315835,"(126, 28%, 27%)"
60,Adventure,16,1007227,3.9,-1.0,10000000,36,"(84, 75, 62)",#544b3e,"(35, 15%, 28%)","(225, 191, 151)",#e1bf97,"(32, 55%, 74%)"
61,Adventure,7,990265,3.5,104.0,10000000,37,"(26, 34, 38)",#1a2226,"(200, 19%, 13%)","(199, 124, 89)",#c77c59,"(19, 50%, 56%)"
62,Adventure,7,990265,3.5,104.0,10000000,37,"(42, 37, 52)",#2a2534,"(260, 17%, 17%)","(225, 170, 130)",#e1aa82,"(25, 61%, 70%)"
63,Adventure,3,1547423,4.3,144.0,50000000,38,"(34, 183, 241)",#22b7f1,"(196, 88%, 54%)","(224, 208, 177)",#e0d0b1,"(39, 43%, 79%)"
64,Adventure,3,1547423,4.3,144.0,50000000,38,"(189, 199, 198)",#bdc7c6,"(174, 8%, 76%)","(59, 63, 129)",#3b3f81,"(236, 37%, 37%)"
65,Adventure,3,17971,4.6,116.0,500000,39,"(98, 139, 72)",#628b48,"(96, 32%, 41%)","(227, 148, 97)",#e39461,"(23, 70%, 64%)"
66,Adventure,3,17971,4.6,116.0,500000,39,"(67, 74, 51)",#434a33,"(78, 18%, 25%)","(224, 134, 89)",#e08659,"(20, 69%, 61%)"
67,Adventure,12,308116,4.6,161.0,1000000,41,"(70, 67, 89)",#464359,"(248, 14%, 31%)","(192, 194, 193)",#c0c2c1,"(150, 2%, 76%)"
68,Adventure,12,308116,4.6,161.0,1000000,41,"(23, 22, 21)",#171615,"(30, 5%, 9%)","(194, 155, 94)",#c29b5e,"(36, 45%, 56%)"
69,Adventure,3,9165,4.5,107.0,100000,42,"(173, 152, 143)",#ad988f,"(17, 15%, 62%)","(16, 99, 135)",#106387,"(198, 79%, 30%)"
70,Adventure,3,9165,4.5,107.0,100000,42,"(49, 80, 95)",#31505f,"(199, 32%, 28%)","(203, 164, 125)",#cba47d,"(29, 43%, 64%)"
71,Adventure,7,74259,4.5,95.0,1000000,43,"(22, 29, 49)",#161d31,"(224, 38%, 14%)","(203, 187, 165)",#cbbba5,"(34, 27%, 72%)"
72,Adventure,7,74259,4.5,95.0,1000000,43,"(86, 88, 66)",#565842,"(65, 14%, 30%)","(220, 210, 171)",#dcd2ab,"(47, 41%, 77%)"
73,Adventure,3,556954,4.4,43.0,50000000,44,"(64, 23, 50)",#401732,"(320, 47%, 17%)","(227, 174, 75)",#e3ae4b,"(39, 73%, 59%)"
74,Adventure,3,556954,4.4,43.0,50000000,44,"(88, 100, 90)",#58645a,"(130, 6%, 37%)","(212, 172, 116)",#d4ac74,"(35, 53%, 64%)"
75,Adventure,3,8023,4.3,177.0,100000,45,"(72, 56, 62)",#48383e,"(337, 12%, 25%)","(221, 171, 131)",#ddab83,"(26, 56%, 69%)"
76,Adventure,3,8023,4.3,177.0,100000,45,"(86, 63, 93)",#563f5d,"(286, 19%, 31%)","(216, 177, 178)",#d8b1b2,"(358, 33%, 77%)"
77,Adventure,18,3129,4.5,19.0,100000,46,"(64, 56, 47)",#40382f,"(31, 15%, 22%)","(197, 154, 99)",#c59a63,"(33, 46%, 57%)"
78,Adventure,18,3129,4.5,19.0,100000,46,"(72, 62, 66)",#483e42,"(336, 7%, 26%)","(208, 171, 151)",#d0ab97,"(21, 38%, 70%)"
79,Adventure,3,101474,4.3,132.0,5000000,47,"(98, 90, 61)",#625a3d,"(47, 23%, 31%)","(222, 172, 115)",#deac73,"(31, 62%, 66%)"
80,Adventure,3,101474,4.3,132.0,5000000,47,"(66, 90, 89)",#425a59,"(177, 15%, 31%)","(232, 215, 159)",#e8d79f,"(46, 61%, 77%)"
81,Adventure,12,4247718,4.5,-1.0,100000000,48,"(143, 116, 89)",#8f7459,"(30, 23%, 45%)","(36, 45, 53)",#242d35,"(208, 19%, 17%)"
82,Adventure,12,4247718,4.5,-1.0,100000000,48,"(62, 70, 73)",#3e4649,"(196, 8%, 26%)","(209, 193, 166)",#d1c1a6,"(37, 32%, 74%)"
83,Adventure,16,15558,4.1,86.0,500000,49,"(30, 33, 43)",#1e212b,"(226, 18%, 14%)","(180, 112, 84)",#b47054,"(17, 39%, 52%)"
84,Adventure,16,15558,4.1,86.0,500000,49,"(105, 110, 60)",#696e3c,"(66, 28%, 33%)","(220, 193, 157)",#dcc19d,"(34, 47%, 74%)"
85,Adventure,12,250621,4.2,59.0,10000000,50,"(31, 32, 19)",#1f2013,"(64, 25%, 10%)","(200, 171, 137)",#c8ab89,"(32, 36%, 66%)"
86,Adventure,12,250621,4.2,59.0,10000000,50,"(87, 83, 55)",#575337,"(52, 23%, 28%)","(206, 189, 152)",#cebd98,"(41, 36%, 70%)"
87,Adventure,12,76052,4.1,30.0,1000000,51,"(56, 76, 98)",#384c62,"(211, 27%, 30%)","(225, 207, 159)",#e1cf9f,"(43, 52%, 75%)"
88,Adventure,12,76052,4.1,30.0,1000000,51,"(63, 56, 63)",#3f383f,"(300, 6%, 23%)","(219, 178, 173)",#dbb2ad,"(6, 39%, 77%)"
89,Adventure,12,93571,3.7,55.0,5000000,52,"(71, 112, 49)",#477031,"(99, 39%, 32%)","(205, 219, 193)",#cddbc1,"(92, 27%, 81%)"
90,Adventure,12,93571,3.7,55.0,5000000,52,"(92, 117, 94)",#5c755e,"(124, 12%, 41%)","(216, 198, 172)",#d8c6ac,"(35, 36%, 76%)"
91,Adventure,16,519205,3.4,83.0,10000000,53,"(107, 169, 200)",#6ba9c8,"(200, 46%, 60%)","(204, 235, 245)",#ccebf5,"(194, 67%, 88%)"
92,Adventure,16,519205,3.4,83.0,10000000,53,"(71, 72, 78)",#47484e,"(231, 5%, 28%)","(204, 186, 162)",#ccbaa2,"(34, 28%, 72%)"
93,Adventure,12,11785,4.6,77.0,500000,54,"(47, 48, 87)",#2f3057,"(238, 30%, 26%)","(196, 178, 179)",#c4b2b3,"(356, 13%, 73%)"
94,Adventure,12,11785,4.6,77.0,500000,54,"(35, 58, 90)",#233a5a,"(214, 44%, 25%)","(199, 186, 145)",#c7ba91,"(45, 33%, 67%)"
95,Adventure,16,3336,4.3,96.0,100000,55,"(213, 178, 169)",#d5b2a9,"(12, 34%, 75%)","(72, 77, 81)",#484d51,"(206, 6%, 30%)"
96,Adventure,16,3336,4.3,96.0,100000,55,"(196, 168, 116)",#c4a874,"(38, 40%, 61%)","(48, 57, 50)",#303932,"(133, 9%, 21%)"
97,Adventure,3,302003,4.3,125.0,10000000,56,"(172, 152, 139)",#ac988b,"(23, 17%, 61%)","(106, 27, 120)",#6a1b78,"(290, 63%, 28%)"
98,Adventure,3,302003,4.3,125.0,10000000,56,"(95, 66, 65)",#5f4241,"(1, 19%, 31%)","(214, 170, 74)",#d6aa4a,"(41, 63%, 56%)"
99,Adventure,3,4848,4.4,134.0,100000,57,"(76, 57, 59)",#4c393b,"(353, 14%, 26%)","(228, 168, 108)",#e4a86c,"(30, 69%, 66%)"
100,Adventure,3,4848,4.4,134.0,100000,57,"(64, 76, 90)",#404c5a,"(212, 17%, 30%)","(207, 197, 182)",#cfc5b6,"(35, 21%, 76%)"
101,Adventure,3,704,4.7,96.0,50000,58,"(74, 158, 23)",#4a9e17,"(97, 75%, 35%)","(229, 127, 119)",#e57f77,"(4, 68%, 68%)"
102,Adventure,3,704,4.7,96.0,50000,58,"(161, 96, 90)",#a1605a,"(5, 28%, 49%)","(47, 129, 13)",#2f810d,"(102, 82%, 28%)"
103,Adventure,12,434877,4.2,69.0,10000000,59,"(140, 95, 100)",#8c5f64,"(353, 19%, 46%)","(39, 57, 76)",#27394c,"(210, 32%, 23%)"
104,Adventure,12,434877,4.2,69.0,10000000,59,"(64, 68, 95)",#40445f,"(232, 19%, 31%)","(211, 203, 209)",#d3cbd1,"(314, 8%, 81%)"
105,Adventure,12,478309,4.0,87.0,10000000,60,"(68, 87, 112)",#445770,"(214, 24%, 35%)","(212, 217, 216)",#d4d9d8,"(168, 6%, 84%)"
106,Adventure,12,478309,4.0,87.0,10000000,60,"(157, 148, 130)",#9d9482,"(40, 12%, 56%)","(35, 40, 47)",#23282f,"(215, 15%, 16%)"
107,Adventure,3,62370,4.7,5.0,1000000,61,"(38, 62, 97)",#263e61,"(215, 44%, 26%)","(197, 149, 115)",#c59573,"(24, 41%, 61%)"
108,Adventure,3,62370,4.7,5.0,1000000,61,"(34, 54, 55)",#223637,"(182, 24%, 17%)","(203, 171, 116)",#cbab74,"(37, 46%, 63%)"
109,Adventure,3,156744,4.6,121.0,1000000,62,"(196, 193, 154)",#c4c19a,"(55, 26%, 69%)","(59, 78, 54)",#3b4e36,"(107, 18%, 26%)"
110,Adventure,3,156744,4.6,121.0,1000000,62,"(197, 204, 194)",#c5ccc2,"(101, 9%, 78%)","(47, 116, 135)",#2f7487,"(192, 48%, 36%)"
111,Adventure,12,172431,4.1,-1.0,5000000,63,"(62, 70, 68)",#3e4644,"(164, 6%, 26%)","(127, 229, 193)",#7fe5c1,"(158, 66%, 70%)"
112,Adventure,12,172431,4.1,-1.0,5000000,63,"(78, 94, 89)",#4e5e59,"(161, 9%, 34%)","(214, 191, 147)",#d6bf93,"(39, 45%, 71%)"
113,Adventure,12,18992,4.0,59.0,1000000,64,"(229, 213, 173)",#e5d5ad,"(42, 52%, 79%)","(63, 42, 84)",#3f2a54,"(270, 33%, 25%)"
114,Adventure,12,18992,4.0,59.0,1000000,64,"(241, 217, 187)",#f1d9bb,"(33, 66%, 84%)","(73, 43, 35)",#492b23,"(12, 35%, 21%)"
115,Adventure,12,10617,4.4,56.0,100000,65,"(76, 42, 10)",#4c2a0a,"(29, 77%, 17%)","(199, 141, 51)",#c78d33,"(36, 59%, 49%)"
116,Adventure,12,10617,4.4,56.0,100000,65,"(71, 39, 10)",#47270a,"(28, 75%, 16%)","(172, 120, 43)",#ac782b,"(35, 60%, 42%)"
117,Adventure,18,4459,4.5,75.0,100000,66,"(82, 72, 93)",#52485d,"(268, 13%, 32%)","(218, 203, 204)",#dacbcc,"(356, 17%, 83%)"
118,Adventure,18,4459,4.5,75.0,100000,66,"(86, 63, 54)",#563f36,"(16, 23%, 27%)","(221, 176, 139)",#ddb08b,"(27, 55%, 71%)"
119,Adventure,12,12042,4.3,-1.0,10000000,67,"(89, 89, 75)",#59594b,"(240, 9%, 32%)","(222, 239, 236)",#deefec,"(169, 35%, 90%)"
120,Adventure,12,12042,4.3,-1.0,10000000,67,"(87, 81, 70)",#575146,"(38, 11%, 31%)","(225, 197, 170)",#e1c5aa,"(29, 48%, 77%)"
121,Adventure,3,465932,4.2,104.0,10000000,68,"(94, 101, 76)",#5e654c,"(76, 14%, 35%)","(221, 222, 190)",#dddebe,"(61, 33%, 81%)"
122,Adventure,3,465932,4.2,104.0,10000000,68,"(62, 53, 40)",#3e3528,"(35, 22%, 20%)","(212, 196, 142)",#d4c48e,"(46, 45%, 69%)"
123,Adventure,3,14229,4.6,64.0,100000,69,"(57, 60, 69)",#393c45,"(224, 10%, 25%)","(202, 168, 149)",#caa895,"(21, 33%, 69%)"
124,Adventure,3,14229,4.6,64.0,100000,69,"(181, 171, 119)",#b5ab77,"(50, 30%, 59%)","(36, 47, 35)",#242f23,"(115, 15%, 16%)"
125,Adventure,3,361225,4.2,94.0,1000000,71,"(68, 66, 60)",#44423c,"(45, 6%, 25%)","(217, 169, 122)",#d9a97a,"(29, 56%, 66%)"
126,Adventure,3,361225,4.2,94.0,1000000,71,"(93, 95, 45)",#5d5f2d,"(62, 36%, 27%)","(219, 176, 107)",#dbb06b,"(36, 61%, 64%)"
127,Adventure,12,15731,4.0,30.0,500000,72,"(97, 93, 84)",#615d54,"(41, 7%, 35%)","(214, 205, 193)",#d6cdc1,"(34, 20%, 80%)"
128,Adventure,12,15731,4.0,30.0,500000,72,"(171, 175, 153)",#abaf99,"(70, 12%, 64%)","(57, 75, 66)",#394b42,"(150, 14%, 26%)"
129,Adventure,7,362,4.2,128.0,1000,73,"(158, 194, 214)",#9ec2d6,"(201, 41%, 73%)","(44, 72, 127)",#2c487f,"(219, 49%, 34%)"
130,Adventure,7,362,4.2,128.0,1000,73,"(93, 87, 69)",#5d5745,"(45, 15%, 32%)","(231, 191, 142)",#e7bf8e,"(33, 65%, 73%)"
131,Adventure,3,49952,4.7,6.0,1000000,74,"(64, 70, 89)",#404659,"(225, 16%, 30%)","(206, 180, 173)",#ceb4ad,"(12, 25%, 74%)"
132,Adventure,3,49952,4.7,6.0,1000000,74,"(63, 82, 97)",#3f5261,"(206, 21%, 31%)","(208, 197, 192)",#d0c5c0,"(18, 15%, 78%)"
133,Adventure,3,36374,4.7,6.0,1000000,75,"(51, 40, 38)",#332826,"(9, 15%, 17%)","(198, 160, 135)",#c6a087,"(23, 36%, 65%)"
134,Adventure,3,36374,4.7,6.0,1000000,75,"(48, 45, 39)",#302d27,"(40, 10%, 17%)","(197, 160, 112)",#c5a070,"(33, 42%, 61%)"
135,Adventure,12,2134,3.7,84.0,100000,76,"(83, 83, 76)",#53534c,"(240, 4%, 31%)","(204, 177, 143)",#ccb18f,"(33, 37%, 68%)"
136,Adventure,12,2134,3.7,84.0,100000,76,"(107, 100, 79)",#6b644f,"(45, 15%, 36%)","(195, 168, 125)",#c3a87d,"(36, 37%, 63%)"
137,Adventure,12,63702,4.5,76.0,1000000,77,"(187, 176, 168)",#bbb0a8,"(25, 12%, 70%)","(35, 51, 65)",#233341,"(208, 30%, 20%)"
138,Adventure,12,63702,4.5,76.0,1000000,77,"(69, 74, 93)",#454a5d,"(227, 15%, 32%)","(215, 179, 155)",#d7b39b,"(23, 43%, 73%)"
139,Adventure,12,667,4.1,39.0,100000,78,"(101, 107, 91)",#656b5b,"(82, 8%, 39%)","(233, 210, 190)",#e9d2be,"(27, 49%, 83%)"
140,Adventure,12,667,4.1,39.0,100000,78,"(74, 92, 85)",#4a5c55,"(156, 11%, 33%)","(203, 173, 140)",#cbad8c,"(31, 38%, 67%)"
141,Adventure,3,355,4.3,52.0,1000,79,"(56, 149, 148)",#389594,"(179, 45%, 40%)","(200, 148, 100)",#c89464,"(28, 48%, 59%)"
142,Adventure,3,355,4.3,52.0,1000,79,"(40, 88, 120)",#285878,"(204, 50%, 31%)","(202, 172, 108)",#caac6c,"(40, 47%, 61%)"
143,Adventure,16,699,4.5,43.0,10000,82,"(47, 82, 116)",#2f5274,"(209, 42%, 32%)","(233, 103, 106)",#e9676a,"(358, 75%, 66%)"
144,Adventure,16,699,4.5,43.0,10000,82,"(44, 57, 59)",#2c393b,"(187, 15%, 20%)","(212, 231, 236)",#d4e7ec,"(192, 39%, 88%)"
145,Adventure,3,223913,4.0,-1.0,10000000,83,"(215, 198, 158)",#d7c69e,"(42, 42%, 73%)","(34, 70, 64)",#224640,"(169, 35%, 20%)"
146,Adventure,3,223913,4.0,-1.0,10000000,83,"(74, 94, 78)",#4a5e4e,"(132, 12%, 33%)","(237, 176, 176)",#edb0b0,"(0, 63%, 81%)"
147,Adventure,12,233412,4.5,-1.0,10000000,84,"(81, 87, 82)",#515752,"(130, 4%, 33%)","(218, 184, 175)",#dab8af,"(12, 37%, 77%)"
148,Adventure,12,233412,4.5,-1.0,10000000,84,"(84, 94, 78)",#545e4e,"(97, 9%, 34%)","(225, 186, 172)",#e1baac,"(15, 47%, 78%)"
149,Adventure,3,422639,3.1,-1.0,10000000,85,"(32, 49, 69)",#203145,"(212, 37%, 20%)","(224, 227, 230)",#e0e3e6,"(210, 11%, 89%)"
150,Adventure,3,422639,3.1,-1.0,10000000,85,"(30, 45, 59)",#1e2d3b,"(208, 33%, 17%)","(226, 227, 228)",#e2e3e4,"(210, 4%, 89%)"
151,Adventure,12,103431,4.5,-1.0,5000000,86,"(66, 50, 40)",#423228,"(23, 25%, 21%)","(210, 169, 122)",#d2a97a,"(32, 49%, 65%)"
152,Adventure,12,103431,4.5,-1.0,5000000,86,"(72, 63, 64)",#483f40,"(353, 7%, 26%)","(218, 182, 132)",#dab684,"(34, 54%, 69%)"
153,Adventure,7,12312,4.4,81.0,1000000,87,"(71, 68, 64)",#474440,"(34, 5%, 26%)","(200, 159, 110)",#c89f6e,"(32, 45%, 61%)"
154,Adventure,7,12312,4.4,81.0,1000000,87,"(140, 101, 64)",#8c6540,"(29, 37%, 40%)","(229, 212, 131)",#e5d483,"(49, 65%, 71%)"
155,Adventure,7,33619,4.2,-1.0,1000000,89,"(64, 69, 42)",#40452a,"(71, 24%, 22%)","(199, 202, 177)",#c7cab1,"(67, 19%, 74%)"
156,Adventure,7,33619,4.2,-1.0,1000000,89,"(63, 69, 66)",#3f4542,"(150, 5%, 26%)","(193, 200, 201)",#c1c8c9,"(187, 7%, 77%)"
157,Adventure,7,19305,4.1,7.0,100000,90,"(54, 69, 76)",#36454c,"(199, 17%, 25%)","(195, 157, 142)",#c39d8e,"(16, 31%, 66%)"
158,Adventure,7,19305,4.1,7.0,100000,90,"(106, 104, 119)",#6a6877,"(247, 7%, 44%)","(229, 204, 133)",#e5cc85,"(44, 65%, 71%)"
159,Adventure,3,7820,4.4,29.0,500000,91,"(39, 27, 65)",#271b41,"(258, 41%, 18%)","(222, 154, 149)",#de9a95,"(4, 53%, 73%)"
160,Adventure,3,7820,4.4,29.0,500000,91,"(22, 25, 61)",#16193d,"(235, 47%, 16%)","(196, 131, 132)",#c48384,"(359, 36%, 64%)"
